idx,port,byte,t0_ns,latency_ns
0,0,0,57771702590660,4310
1,0,1,57771703593810,150
2,0,2,57771704592990,200
3,0,3,57771705593560,310
4,0,4,57771706591780,170
5,0,5,57771707590930,160
6,0,6,57771708592050,120
7,0,7,57771709591120,120
8,1,0,57771709954010,180
9,0,8,57771710590360,210
10,1,1,57771710954760,210
11,0,9,57771711592010,140
12,1,2,57771711952140,110
13,0,10,57771712588990,130
14,1,3,57771712950240,130
15,0,11,57771713588510,130
16,1,4,57771713950050,140
17,0,12,57771714588800,160
18,1,5,57771714950670,170
19,0,13,57771715589140,200
20,1,6,57771715949950,170
21,0,14,57771716588600,180
22,1,7,57771716949840,140
23,0,15,57771717588250,140
24,1,8,57771717949720,130
25,0,16,57771718588330,170
26,1,9,57771718950030,150
27,0,17,57771719588360,140
28,1,10,57771719949670,140
29,0,18,57771720588030,130
30,1,11,57771720949540,150
31,0,19,57771721587930,170
32,1,12,57771721949440,140
33,0,20,57771722588090,160
34,1,13,57771722950110,170
35,0,21,57771723588070,120
36,1,14,57771723949400,120
37,0,22,57771724587790,140
38,1,15,57771724949250,130
39,0,23,57771725587650,140
40,1,16,57771725949140,170
41,0,24,57771726588230,130
42,1,17,57771726949730,120
43,0,25,57771727588030,90
44,1,18,57771727949610,140
45,0,26,57771728587510,130
46,1,19,57771728949030,140
47,0,27,57771729587350,140
48,1,20,57771729948910,130
49,0,28,57771730587440,180
50,1,21,57771730949630,180
51,0,29,57771731587500,130
52,1,22,57771731948870,130
53,0,30,57771732587530,140
54,1,23,57771732948730,130
55,0,31,57771733587160,140
56,1,24,57771733948650,120
57,0,32,57771734587160,170
58,1,25,57771734948890,160
59,0,33,57771735587240,140
60,1,26,57771735948530,160
61,0,34,57771736586910,180
62,1,27,57771736948430,110
63,0,35,57771737586820,170
64,1,28,57771737948370,130
65,0,36,57771738586830,150
66,1,29,57771738948670,140
67,0,37,57771739587190,130
68,1,30,57771739948260,130
69,0,38,57771740586640,140
70,1,31,57771740948140,110
71,0,39,57771741586520,170
72,1,32,57771741948120,130
73,0,40,57771742586740,170
74,1,33,57771742948420,180
75,0,41,57771743586880,120
76,1,34,57771743947980,130
77,0,42,57771744586430,130
78,1,35,57771744947900,130
79,0,43,57771745586460,140
80,1,36,57771745947800,140
81,0,44,57771746586340,180
82,1,37,57771746947930,150
83,0,45,57771747586500,130
84,1,38,57771747947710,150
85,0,46,57771748586100,130
86,1,39,57771748947670,140
87,0,47,57771749586020,140
88,1,40,57771749947540,130
89,0,48,57771750586070,160
90,1,41,57771750947690,180
91,0,49,57771751586150,160
92,1,42,57771751947400,140
93,0,50,57771752586030,140
94,1,43,57771752947350,130
95,0,51,57771753585730,140
96,1,44,57771753947270,130
97,0,52,57771754585780,170
98,1,45,57771754947480,140
99,0,53,57771755585890,120
100,1,46,57771755947230,130
101,0,54,57771756586070,140
102,1,47,57771756947100,170
103,0,55,57771757585640,150
104,1,48,57771757947000,130
105,0,56,57771758585500,130
106,1,49,57771758947180,140
107,0,57,57771759585730,120
108,1,50,57771759947140,140
109,0,58,57771760585290,140
110,1,51,57771760946810,140
111,0,59,57771761585170,180
112,1,52,57771761946780,180
113,0,60,57771762585360,170
114,1,53,57771762946890,160
115,0,61,57771763585260,130
116,1,54,57771763946600,130
117,0,62,57771764585010,130
118,1,55,57771764946530,130
119,0,63,57771765585350,130
120,1,56,57771765946930,130
121,0,64,57771766584930,160
122,1,57,57771766946610,170
123,0,65,57771767585030,120
124,1,58,57771767946410,120
125,0,66,57771768584730,140
126,1,59,57771768946260,140
127,0,67,57771769584650,110
128,1,60,57771769946170,130
129,0,68,57771770584690,150
130,1,61,57771770946410,180
131,0,69,57771771584870,150
132,1,62,57771771946130,180
133,0,70,57771772584750,110
134,1,63,57771772945950,130
135,0,71,57771773584420,130
136,1,64,57771773945920,130
137,0,72,57771774584470,170
138,1,65,57771774946100,140
139,0,73,57771775584450,120
140,1,66,57771775945800,140
141,0,74,57771776584200,160
142,1,67,57771776945740,150
143,0,75,57771777584110,140
144,1,68,57771777945630,120
145,0,76,57771778584170,150
146,1,69,57771778945920,170
147,0,77,57771779584210,130
148,1,70,57771779945560,130
149,0,78,57771780583940,130
150,1,71,57771780945440,120
151,0,79,57771781583800,160
152,1,72,57771781945360,180
153,0,80,57771782583900,180
154,1,73,57771782945500,180
155,0,81,57771783583910,140
156,1,74,57771783945270,140
157,0,82,57771784583680,140
158,1,75,57771784945170,130
159,0,83,57771785583590,140
160,1,76,57771785945130,130
161,0,84,57771786584550,190
162,1,77,57771786945330,160
163,0,85,57771787584900,120
164,1,78,57771787945570,150
165,0,86,57771788585440,180
166,1,79,57771788945040,140
167,0,87,57771789583630,130
168,1,80,57771789945080,140
169,0,88,57771790583530,170
170,1,81,57771790945060,140
171,0,89,57771791583640,150
172,1,82,57771791944710,130
173,0,90,57771792583480,170
174,1,83,57771792944660,130
175,0,91,57771793583040,130
176,1,84,57771793944550,120
177,0,92,57771794583120,170
178,1,85,57771794944770,170
179,0,93,57771795583230,120
180,1,86,57771795944490,120
181,0,94,57771796582850,130
182,1,87,57771796944380,140
183,0,95,57771797583140,190
184,1,88,57771797944770,120
185,0,96,57771798582830,170
186,1,89,57771798944550,160
187,0,97,57771799583260,130
188,1,90,57771799944200,120
189,0,98,57771800582610,130
190,1,91,57771800944070,130
191,0,99,57771801582490,130
192,1,92,57771801943990,170
193,0,100,57771802582580,180
194,1,93,57771802944370,170
195,0,101,57771803582780,120
196,1,94,57771803943890,140
197,0,102,57771804582330,110
198,1,95,57771804943800,100
199,0,103,57771805582210,140
200,1,96,57771805943750,140
201,0,104,57771806582280,160
202,1,97,57771806943890,160
203,0,105,57771807582340,180
204,1,98,57771807943630,150
205,0,106,57771808582080,140
206,1,99,57771808943500,130
207,0,107,57771809581910,130
208,1,100,57771809943440,120
209,0,108,57771810582000,170
210,1,101,57771810948540,60
211,0,109,57771811583210,120
212,1,102,57771811943400,170
213,0,110,57771812582100,160
214,1,103,57771812943280,120
215,0,111,57771813581730,130
216,1,104,57771813943170,130
217,0,112,57771814582240,170
218,1,105,57771814943350,170
219,0,113,57771815581790,130
220,1,106,57771815943080,140
221,0,114,57771816582020,110
222,1,107,57771816943010,150
223,0,115,57771817581480,170
224,1,108,57771817942920,120
225,0,116,57771818581460,160
226,1,109,57771818943060,160
227,0,117,57771819581650,130
228,1,110,57771819942820,140
229,0,118,57771820581210,130
230,1,111,57771820942700,140
231,0,119,57771821581110,130
232,1,112,57771821942650,160
233,0,120,57771822581230,190
234,1,113,57771822942860,150
235,0,121,57771823581300,120
236,1,114,57771823942560,120
237,0,122,57771824580940,130
238,1,115,57771824942450,120
239,0,123,57771825580840,130
240,1,116,57771825942360,140
241,0,124,57771826580900,170
242,1,117,57771826942490,170
243,0,125,57771827580990,170
244,1,118,57771827942710,150
245,0,126,57771828580670,140
246,1,119,57771828942180,120
247,0,127,57771829580580,130
248,1,120,57771829942100,120
249,0,128,57771830580530,160
250,1,121,57771830942320,130
251,0,129,57771831580640,130
252,1,122,57771831942010,160
253,0,130,57771832580590,180
